"speaker","token","diortri","focus_condition","focus_no","citation_tone","sandhi_tone","sandhi_tone_var","syllable_no","citation_no","ind_no","sync_tone1","sync_tone2","sync_tone3","hist_tone1","hist_tone2","hist_tone3","syntax","time","f0","norm_f0"
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","1",297.126137621713,0.223042448316958
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","2",348.556780890881,0.863651351631199
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","3",373.955337952217,1.14588721303241
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","4",386.355884115787,1.2767925115111
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","5",394.45405973837,1.36003148719317
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","6",396.687092566671,1.38268374963735
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","7",392.416114489508,1.33924602441673
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","8",381.803657090415,1.22923196168215
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","9",363.895545330056,1.03646219240385
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",1,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","10",340.905152922736,0.774581509464046
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",2,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","11",307.834379572327,0.365113569059631
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",2,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","12",287.627755862356,0.0926705474043199
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",2,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","13",278.607970027983,-0.0351807075054039
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",2,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","14",273.066283933867,-0.115800766715242
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",2,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","15",269.03646694626,-0.175460459286603
"S1","青椒","di","ct",NA,"HH_HH","HMML","RFLL",2,"1","S1_1_ct","HH","HH",NA,"yinping","yinping",NA,"L","16",265.775192434028,-0.224400144539488
